OBJECTID;FID_UFS_AMZLEG_LLWGS84;SPRAREA;SPRPERIMET;SPRROTULO;SPRNOME;MSLINK;MAPID;CODIGO;AREA_1;PERIMETRO_;GEOCODIGO;NOME;AREA_TOT_G;objeid_88;Area;FID_pontos_ameacadas_atualizado_portaria_443_2014;codigocncf;id;preccncflo;POINT_X;POINT_Y;familia;nome_cient;autor;categoria
263;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;24402;3124274;32178; ;-47,7017;-11,6939;POACEAE;Altoparadisium chapadense;Filg. et al.;CR
264;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;27656;3201198;27610;5 a 10km;-47,701667;-11,693889;BROMELIACEAE;Bromelia braunii;Leme & E.Esteves;CR
266;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;13007;1204856;30358; ;-46,66;-11,64;LYTHRACEAE;Diplusodon gracilis;Koehne;CR
268;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;11895;3160905;102266; ;-47,7908;-11,5667;PLANTAGINACEAE;Angelonia alternifolia;V.C.Souza;CR
269;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;2680;3330250;36528;centroide de municipio;-46,647268;-11,541833;LAMIACEAE;Hyptis arenaria;Benth.;VU
271;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;0;16410;1125455;22780; ;-62,5;-11,42;FABACEAE;Amburana acreana;(Ducke) A.C.Sm.;VU
272;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;0;10378;642175;39509; ;-62;-11,416667;SAPOTACEAE;Pouteria petiolata;T.D.Penn.;VU
287;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;12340;3340002;102484; ;-47,4852;-11,1843;PODOSTEMACEAE;Mourera weddelliana;Tul.;VU
291;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;21147;3258749;27039; ;-47,1267;-11,1419;ASTERACEAE;Echinocoryne echinocephala;(H.Rob.) H.Rob.;EN
303;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;0;13877;1089615;22000; ;-69,5;-10,94;ARACEAE;Heteropsis flexuosa;(Kunth) G.S.Bunting;VU
310;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;0;16370;658803;22353; ;-68,8;-10,85;BURSERACEAE;Dacryodes edilsonii;Daly;EN
325;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;0;23754;1363266;23381;5 a 10km;-69,134841;-10,773694;LAURACEAE;Nectandra grisea;Rohwer;VU
342;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;0;25420;642102;85611; ;-63,65;-10,583333;MELIACEAE;Trichilia micropetala;T.D.Penn.;EN
363;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;0;345;1351429;34717;centroide de municipio;-61,811966;-10,393478;CHRYSOBALANACEAE;Licania conferruminata;Prance;CR
367;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;30349;3339004;91440;centroide de municipio;-58,588086;-10,359685;Lycopodiaceae;Phlegmariurus taxifolius;(Sw.) Ã. LÃ¶ve & D. LÃ¶ve.;EN
381;4;2,78999E+11;4022956,839;21;21;21;99;17;277620,914;4011,783;17;TOCANTINS;277620,914;20;0;10704;3340423;102181;centroide de municipio;-48,851775;-10,212036;GESNERIACEAE;Sphaerorrhiza burchellii;(S.M.Phillips) Roalson & Boggan;EN
382;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;1506;1388038;20302; ;-59,4;-10,2;PIPERACEAE;Piper barretoi;Yunck.;EN
385;6;9,04883E+11;5822618,346;225;225;225;99;51;903357,715;5815,15259;51;MATO GROSSO;903357,715;223;0;363;729526;34739; ;-59,35;-10,2;CHRYSOBALANACEAE;Licania indurata;Pilg.;EN
466;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;0;21512;3198097;106507; ;-68,6039;-9,4103;ACANTHACEAE;Streblacanthus dubiosus;(Lindau) V.M.Baum;EN
489;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;0;712;710838;25006;5 a 10km;-68,66;-9,07;VIOLACEAE;Rinorea longistipulata;Hekking;EN
490;1;1,58852E+11;2712819,854;2;2;2;99;12;152581,388;2670,32865;12;ACRE;152581,388;1;0;10672;710957;39544;5 a 10km;-68,66;-9,07;SAPOTACEAE;Sarcaulus vestitus;(Baehni) T.D.Penn.;VU
492;0;2,40402E+11;3463076,051;1;1;1;99;11;237576,167;3441,37404;11;Rondônia;237576,167;0;0;30065;636577;8487;50 a 100km;-63,347887;-9,056321;LAURACEAE;Ocotea tabacifolia;(Meisn.) Rohwer;EN
535;5;3,35346E+11;5521028,97;23;23;23;99;21;331430,739;5487,32162;21;MARANHÃO;331983,293;22;0;13805;473084;8178;centroide de municipio;-46,369623;-8,161125;LAMIACEAE;Hyptidendron conspersum;(Benth.) Harley;EN
540;3;1,60183E+12;8217086,642;3;3;3;99;13;1570745,68;8133,83971;13;AMAZONAS;1570745,68;2;0;7824;3337089;114133; ;-61,82;-8,12;BIGNONIACEAE;Jacaranda egleri;Sandwith;CR
